Inital State,Search Objective,Path,Cost,Generated Nodes,Visited Nodes,Algorithm,Cost Function,Heuristic
"(23, 21)","(23, 2)","[(23, 21), (23, 20), (23, 19), (23, 18), (23, 17), (23, 16), (23, 15), (23, 14), (23, 13), (23, 12), (23, 11), (23, 10), (23, 9), (23, 8), (23, 7), (23, 6), (23, 5), (23, 4), (23, 3), (23, 2)]",190,77,20,A_Star,c1,h1
"(23, 21)","(23, 2)","[(23, 21), (23, 20), (23, 19), (23, 18), (23, 17), (23, 16), (23, 15), (23, 14), (23, 13), (23, 12), (23, 11), (23, 10), (23, 9), (23, 8), (23, 7), (23, 6), (23, 5), (23, 4), (23, 3), (23, 2)]",190,77,20,A_Star,c2,h1
"(23, 21)","(23, 2)","[(23, 21), (23, 20), (23, 19), (23, 18), (23, 17), (23, 16), (23, 15), (23, 14), (23, 13), (23, 12), (23, 11), (23, 10), (23, 9), (23, 8), (23, 7), (23, 6), (23, 5), (23, 4), (23, 3), (23, 2)]",190,77,20,A_Star,c3,h1
"(23, 21)","(23, 2)","[(23, 21), (23, 20), (23, 19), (23, 18), (23, 17), (23, 16), (23, 15), (23, 14), (23, 13), (23, 12), (23, 11), (23, 10), (23, 9), (23, 8), (23, 7), (23, 6), (23, 5), (23, 4), (23, 3), (23, 2)]",190,77,20,A_Star,c4,h1
"(23, 21)","(23, 2)","[(23, 21), (23, 20), (23, 19), (23, 18), (23, 17), (23, 16), (23, 15), (23, 14), (23, 13), (23, 12), (23, 11), (23, 10), (23, 9), (23, 8), (23, 7), (23, 6), (23, 5), (23, 4), (23, 3), (23, 2)]",190,77,20,A_Star,c1,h2
"(23, 21)","(23, 2)","[(23, 21), (23, 20), (23, 19), (23, 18), (23, 17), (23, 16), (23, 15), (23, 14), (23, 13), (23, 12), (23, 11), (23, 10), (23, 9), (23, 8), (23, 7), (23, 6), (23, 5), (23, 4), (23, 3), (23, 2)]",190,77,20,A_Star,c2,h2
"(23, 21)","(23, 2)","[(23, 21), (23, 20), (23, 19), (23, 18), (23, 17), (23, 16), (23, 15), (23, 14), (23, 13), (23, 12), (23, 11), (23, 10), (23, 9), (23, 8), (23, 7), (23, 6), (23, 5), (23, 4), (23, 3), (23, 2)]",190,77,20,A_Star,c3,h2
"(23, 21)","(23, 2)","[(23, 21), (23, 20), (23, 19), (23, 18), (23, 17), (23, 16), (23, 15), (23, 14), (23, 13), (23, 12), (23, 11), (23, 10), (23, 9), (23, 8), (23, 7), (23, 6), (23, 5), (23, 4), (23, 3), (23, 2)]",190,77,20,A_Star,c4,h2
"(17, 16)","(25, 18)","[(17, 16), (18, 16), (19, 16), (20, 16), (21, 16), (22, 16), (23, 16), (24, 16), (24, 17), (25, 17), (25, 18)]",100,101,26,A_Star,c1,h1
"(17, 16)","(25, 18)","[(17, 16), (18, 16), (19, 16), (20, 16), (21, 16), (22, 16), (22, 17), (23, 17), (24, 17), (24, 18), (25, 18)]",140,237,60,A_Star,c2,h1
"(17, 16)","(25, 18)","[(17, 16), (17, 17), (18, 17), (19, 17), (20, 17), (21, 17), (22, 17), (23, 17), (24, 17), (25, 17), (25, 18)]",116,173,44,A_Star,c3,h1
"(17, 16)","(25, 18)","[(17, 16), (17, 17), (18, 17), (19, 17), (20, 17), (21, 17), (22, 17), (23, 17), (24, 17), (25, 17), (25, 18)]",96,65,17,A_Star,c4,h1
"(17, 16)","(25, 18)","[(17, 16), (18, 16), (18, 17), (19, 17), (20, 17), (21, 17), (21, 18), (22, 18), (23, 18), (24, 18), (25, 18)]",100,89,23,A_Star,c1,h2
"(17, 16)","(25, 18)","[(17, 16), (17, 17), (18, 17), (19, 17), (20, 17), (21, 17), (22, 17), (22, 18), (23, 18), (24, 18), (25, 18)]",140,141,36,A_Star,c2,h2
"(17, 16)","(25, 18)","[(17, 16), (17, 17), (18, 17), (19, 17), (20, 17), (21, 17), (22, 17), (23, 17), (24, 17), (25, 17), (25, 18)]",116,105,27,A_Star,c3,h2
"(17, 16)","(25, 18)","[(17, 16), (17, 17), (17, 18), (18, 18), (19, 18), (20, 18), (21, 18), (22, 18), (23, 18), (24, 18), (25, 18)]",88,45,12,A_Star,c4,h2
"(15, 24)","(13, 11)","[(15, 24), (15, 23), (15, 22), (15, 21), (15, 20), (15, 19), (15, 18), (15, 17), (15, 16), (15, 15), (15, 14), (15, 13), (15, 12), (14, 12), (14, 11), (13, 11)]",150,193,49,A_Star,c1,h1
"(15, 24)","(13, 11)","[(15, 24), (15, 23), (15, 22), (15, 21), (15, 20), (15, 19), (15, 18), (15, 17), (15, 16), (15, 15), (15, 14), (15, 13), (14, 13), (14, 12), (13, 12), (13, 11)]",160,213,54,A_Star,c2,h1
"(15, 24)","(13, 11)","[(15, 24), (15, 23), (15, 22), (15, 21), (15, 20), (14, 20), (14, 19), (14, 18), (14, 17), (14, 16), (14, 15), (13, 15), (13, 14), (13, 13), (13, 12), (13, 11)]",150,169,43,A_Star,c3,h1
"(15, 24)","(13, 11)","[(15, 24), (15, 23), (15, 22), (15, 21), (15, 20), (15, 19), (15, 18), (15, 17), (15, 16), (15, 15), (14, 15), (13, 15), (13, 14), (13, 13), (13, 12), (13, 11)]",141,105,27,A_Star,c4,h1
"(15, 24)","(13, 11)","[(15, 24), (15, 23), (15, 22), (15, 21), (15, 20), (15, 19), (15, 18), (15, 17), (14, 17), (14, 16), (13, 16), (13, 15), (13, 14), (13, 13), (13, 12), (13, 11)]",150,153,39,A_Star,c1,h2
"(15, 24)","(13, 11)","[(15, 24), (15, 23), (15, 22), (15, 21), (15, 20), (15, 19), (15, 18), (15, 17), (15, 16), (15, 15), (15, 14), (15, 13), (15, 12), (14, 12), (13, 12), (13, 11)]",160,153,39,A_Star,c2,h2
"(15, 24)","(13, 11)","[(15, 24), (15, 23), (15, 22), (15, 21), (15, 20), (14, 20), (14, 19), (14, 18), (14, 17), (14, 16), (14, 15), (13, 15), (13, 14), (13, 13), (13, 12), (13, 11)]",150,113,29,A_Star,c3,h2
"(15, 24)","(13, 11)","[(15, 24), (15, 23), (15, 22), (15, 21), (15, 20), (14, 20), (13, 20), (13, 19), (13, 18), (13, 17), (13, 16), (13, 15), (13, 14), (13, 13), (13, 12), (13, 11)]",149,61,16,A_Star,c4,h2
"(23, 3)","(16, 29)","[(23, 3), (23, 4), (23, 5), (23, 6), (23, 7), (23, 8), (23, 9), (23, 10), (23, 11), (23, 12), (23, 13), (23, 14), (23, 15), (23, 16), (22, 16), (22, 17), (22, 18), (21, 18), (20, 18), (20, 19), (20, 20), (20, 21), (20, 22), (20, 23), (20, 24), (20, 25), (19, 25), (19, 26), (19, 27), (18, 27), (17, 27), (17, 28), (17, 29), (16, 29)]",330,1152,289,A_Star,c1,h1
"(23, 3)","(16, 29)","[(23, 3), (23, 4), (23, 5), (23, 6), (23, 7), (23, 8), (23, 9), (23, 10), (23, 11), (23, 12), (23, 13), (23, 14), (23, 15), (23, 16), (23, 17), (23, 18), (23, 19), (23, 20), (23, 21), (23, 22), (23, 23), (22, 23), (22, 24), (22, 25), (21, 25), (20, 25), (20, 26), (19, 26), (19, 27), (18, 27), (18, 28), (17, 28), (17, 29), (16, 29)]",365,1311,331,A_Star,c2,h1
"(23, 3)","(16, 29)","[(23, 3), (23, 4), (23, 5), (23, 6), (23, 7), (22, 7), (22, 8), (22, 9), (22, 10), (22, 11), (22, 12), (21, 12), (21, 13), (21, 14), (21, 15), (21, 16), (21, 17), (20, 17), (20, 18), (20, 19), (20, 20), (20, 21), (20, 22), (19, 22), (18, 22), (18, 23), (18, 24), (18, 25), (18, 26), (17, 26), (16, 26), (16, 27), (16, 28), (16, 29)]",332,1092,274,A_Star,c3,h1
"(23, 3)","(16, 29)","[(23, 3), (23, 4), (23, 5), (23, 6), (23, 7), (23, 8), (23, 9), (23, 10), (23, 11), (22, 11), (21, 11), (20, 11), (20, 12), (20, 13), (20, 14), (20, 15), (20, 16), (20, 17), (20, 18), (20, 19), (20, 20), (19, 20), (18, 20), (17, 20), (17, 21), (17, 22), (17, 23), (17, 24), (17, 25), (17, 26), (17, 27), (17, 28), (16, 28), (16, 29)]",300,753,189,A_Star,c4,h1
"(23, 3)","(16, 29)","[(23, 3), (23, 4), (23, 5), (23, 6), (23, 7), (23, 8), (23, 9), (22, 9), (22, 10), (22, 11), (22, 12), (22, 13), (22, 14), (21, 14), (21, 15), (21, 16), (21, 17), (21, 18), (21, 19), (21, 20), (20, 20), (19, 20), (19, 21), (19, 22), (19, 23), (19, 24), (18, 24), (18, 25), (18, 26), (18, 27), (17, 27), (17, 28), (16, 28), (16, 29)]",330,685,172,A_Star,c1,h2
"(23, 3)","(16, 29)","[(23, 3), (23, 4), (23, 5), (23, 6), (23, 7), (23, 8), (23, 9), (23, 10), (23, 11), (23, 12), (23, 13), (23, 14), (23, 15), (23, 16), (23, 17), (23, 18), (23, 19), (23, 20), (23, 21), (22, 21), (21, 21), (21, 22), (21, 23), (21, 24), (20, 24), (20, 25), (20, 26), (20, 27), (19, 27), (19, 28), (19, 29), (18, 29), (17, 29), (16, 29)]",365,910,229,A_Star,c2,h2
"(23, 3)","(16, 29)","[(23, 3), (23, 4), (23, 5), (23, 6), (23, 7), (22, 7), (22, 8), (22, 9), (22, 10), (22, 11), (22, 12), (21, 12), (21, 13), (21, 14), (21, 15), (21, 16), (21, 17), (20, 17), (20, 18), (20, 19), (20, 20), (20, 21), (20, 22), (19, 22), (18, 22), (18, 23), (18, 24), (18, 25), (18, 26), (17, 26), (16, 26), (16, 27), (16, 28), (16, 29)]",332,537,135,A_Star,c3,h2
"(23, 3)","(16, 29)","[(23, 3), (23, 4), (23, 5), (23, 6), (23, 7), (22, 7), (21, 7), (20, 7), (19, 7), (18, 7), (17, 7), (16, 7), (16, 8), (16, 9), (16, 10), (16, 11), (16, 12), (16, 13), (16, 14), (16, 15), (16, 16), (16, 17), (16, 18), (16, 19), (16, 20), (16, 21), (16, 22), (16, 23), (16, 24), (16, 25), (16, 26), (16, 27), (16, 28), (16, 29)]",311,133,34,A_Star,c4,h2
"(16, 21)","(17, 26)","[(16, 21), (16, 22), (16, 23), (16, 24), (16, 25), (16, 26), (17, 26)]",60,33,9,A_Star,c1,h1
"(16, 21)","(17, 26)","[(16, 21), (16, 22), (16, 23), (16, 24), (16, 25), (16, 26), (17, 26)]",65,29,8,A_Star,c2,h1
"(16, 21)","(17, 26)","[(16, 21), (16, 22), (16, 23), (16, 24), (16, 25), (17, 25), (17, 26)]",60,29,8,A_Star,c3,h1
"(16, 21)","(17, 26)","[(16, 21), (16, 22), (16, 23), (16, 24), (16, 25), (16, 26), (17, 26)]",59,29,8,A_Star,c4,h1
"(16, 21)","(17, 26)","[(16, 21), (17, 21), (17, 22), (17, 23), (17, 24), (17, 25), (17, 26)]",60,45,12,A_Star,c1,h2
"(16, 21)","(17, 26)","[(16, 21), (16, 22), (16, 23), (16, 24), (16, 25), (16, 26), (17, 26)]",65,29,8,A_Star,c2,h2
"(16, 21)","(17, 26)","[(16, 21), (16, 22), (16, 23), (16, 24), (16, 25), (17, 25), (17, 26)]",60,29,8,A_Star,c3,h2
"(16, 21)","(17, 26)","[(16, 21), (16, 22), (16, 23), (16, 24), (16, 25), (16, 26), (17, 26)]",59,29,8,A_Star,c4,h2
"(16, 16)","(14, 5)","[(16, 16), (16, 15), (16, 14), (16, 13), (16, 12), (16, 11), (16, 10), (15, 10), (15, 9), (15, 8), (15, 7), (15, 6), (15, 5), (14, 5)]",130,173,44,A_Star,c1,h1
"(16, 16)","(14, 5)","[(16, 16), (16, 15), (16, 14), (16, 13), (16, 12), (16, 11), (16, 10), (15, 10), (15, 9), (15, 8), (15, 7), (15, 6), (15, 5), (14, 5)]",140,177,45,A_Star,c2,h1
"(16, 16)","(14, 5)","[(16, 16), (16, 15), (16, 14), (16, 13), (16, 12), (15, 12), (15, 11), (15, 10), (15, 9), (15, 8), (15, 7), (14, 7), (14, 6), (14, 5)]",130,137,35,A_Star,c3,h1
"(16, 16)","(14, 5)","[(16, 16), (16, 15), (16, 14), (16, 13), (16, 12), (16, 11), (16, 10), (16, 9), (16, 8), (16, 7), (15, 7), (14, 7), (14, 6), (14, 5)]",121,81,21,A_Star,c4,h1
"(16, 16)","(14, 5)","[(16, 16), (16, 15), (16, 14), (16, 13), (16, 12), (16, 11), (16, 10), (16, 9), (15, 9), (15, 8), (14, 8), (14, 7), (14, 6), (14, 5)]",130,133,34,A_Star,c1,h2
"(16, 16)","(14, 5)","[(16, 16), (16, 15), (16, 14), (16, 13), (16, 12), (16, 11), (16, 10), (16, 9), (16, 8), (16, 7), (16, 6), (16, 5), (15, 5), (14, 5)]",140,101,26,A_Star,c2,h2
"(16, 16)","(14, 5)","[(16, 16), (16, 15), (16, 14), (16, 13), (16, 12), (15, 12), (15, 11), (15, 10), (15, 9), (15, 8), (15, 7), (14, 7), (14, 6), (14, 5)]",130,89,23,A_Star,c3,h2
"(16, 16)","(14, 5)","[(16, 16), (16, 15), (16, 14), (16, 13), (16, 12), (15, 12), (14, 12), (14, 11), (14, 10), (14, 9), (14, 8), (14, 7), (14, 6), (14, 5)]",129,53,14,A_Star,c4,h2
"(15, 7)","(1, 23)","[(15, 7), (15, 8), (14, 8), (14, 9), (14, 10), (14, 11), (14, 12), (14, 13), (13, 13), (13, 14), (13, 15), (12, 15), (11, 15), (11, 16), (11, 17), (10, 17), (9, 17), (8, 17), (8, 18), (7, 18), (6, 18), (6, 19), (5, 19), (5, 20), (4, 20), (4, 21), (3, 21), (3, 22), (2, 22), (2, 23), (1, 23)]",300,1317,330,A_Star,c1,h1
"(15, 7)","(1, 23)","[(15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (14, 11), (13, 11), (13, 12), (13, 13), (12, 13), (11, 13), (11, 14), (11, 15), (10, 15), (9, 15), (9, 16), (9, 17), (9, 18), (8, 18), (7, 18), (7, 19), (6, 19), (6, 20), (5, 20), (4, 20), (3, 20), (2, 20), (2, 21), (2, 22), (2, 23), (1, 23)]",370,1832,460,A_Star,c2,h1
"(15, 7)","(1, 23)","[(15, 7), (15, 8), (15, 9), (14, 9), (13, 9), (12, 9), (11, 9), (10, 9), (10, 10), (10, 11), (10, 12), (9, 12), (8, 12), (8, 13), (8, 14), (8, 15), (8, 16), (7, 16), (6, 16), (5, 16), (5, 17), (5, 18), (5, 19), (4, 19), (3, 19), (3, 20), (3, 21), (3, 22), (3, 23), (2, 23), (1, 23)]",312,1325,332,A_Star,c3,h1
"(15, 7)","(1, 23)","[(15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (14, 12), (13, 12), (12, 12), (11, 12), (10, 12), (9, 12), (8, 12), (7, 12), (6, 12), (6, 13), (6, 14), (6, 15), (6, 16), (6, 17), (6, 18), (5, 18), (4, 18), (3, 18), (2, 18), (1, 18), (1, 19), (1, 20), (1, 21), (1, 22), (1, 23)]",260,861,216,A_Star,c4,h1
"(15, 7)","(1, 23)","[(15, 7), (14, 7), (14, 8), (13, 8), (12, 8), (12, 9), (12, 10), (12, 11), (12, 12), (12, 13), (12, 14), (11, 14), (11, 15), (11, 16), (11, 17), (10, 17), (9, 17), (8, 17), (8, 18), (8, 19), (8, 20), (8, 21), (8, 22), (7, 22), (7, 23), (6, 23), (5, 23), (4, 23), (3, 23), (2, 23), (1, 23)]",300,749,188,A_Star,c1,h2
"(15, 7)","(1, 23)","[(15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (14, 11), (13, 11), (13, 12), (12, 12), (12, 13), (11, 13), (10, 13), (10, 14), (9, 14), (8, 14), (8, 15), (7, 15), (7, 16), (7, 17), (7, 18), (6, 18), (6, 19), (5, 19), (5, 20), (5, 21), (4, 21), (3, 21), (3, 22), (2, 22), (1, 22), (1, 23)]",370,1293,324,A_Star,c2,h2
"(15, 7)","(1, 23)","[(15, 7), (15, 8), (15, 9), (14, 9), (13, 9), (12, 9), (11, 9), (11, 10), (11, 11), (11, 12), (11, 13), (10, 13), (9, 13), (8, 13), (8, 14), (8, 15), (8, 16), (7, 16), (6, 16), (5, 16), (5, 17), (5, 18), (5, 19), (4, 19), (3, 19), (3, 20), (3, 21), (3, 22), (3, 23), (2, 23), (1, 23)]",312,705,177,A_Star,c3,h2
"(15, 7)","(1, 23)","[(15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (14, 11), (13, 11), (12, 11), (11, 11), (10, 11), (9, 11), (8, 11), (7, 11), (6, 11), (5, 11), (4, 11), (4, 12), (4, 13), (4, 14), (4, 15), (4, 16), (3, 16), (2, 16), (1, 16), (1, 17), (1, 18), (1, 19), (1, 20), (1, 21), (1, 22), (1, 23)]",263,141,36,A_Star,c4,h2
"(2, 10)","(5, 25)","[(2, 10), (2, 11), (2, 12), (2, 13), (2, 14), (2, 15), (2, 16), (2, 17), (2, 18), (2, 19), (2, 20), (2, 21), (3, 21), (3, 22), (3, 23), (4, 23), (4, 24), (5, 24), (5, 25)]",180,314,80,A_Star,c1,h1
"(2, 10)","(5, 25)","[(2, 10), (2, 11), (2, 12), (2, 13), (2, 14), (2, 15), (2, 16), (2, 17), (2, 18), (2, 19), (2, 20), (2, 21), (2, 22), (2, 23), (3, 23), (4, 23), (5, 23), (5, 24), (5, 25)]",195,341,88,A_Star,c2,h1
"(2, 10)","(5, 25)","[(2, 10), (2, 11), (2, 12), (2, 13), (2, 14), (3, 14), (3, 15), (3, 16), (3, 17), (3, 18), (3, 19), (4, 19), (4, 20), (4, 21), (4, 22), (4, 23), (4, 24), (5, 24), (5, 25)]",180,249,63,A_Star,c3,h1
"(2, 10)","(5, 25)","[(2, 10), (2, 11), (2, 12), (2, 13), (2, 14), (2, 15), (2, 16), (2, 17), (2, 18), (3, 18), (4, 18), (5, 18), (5, 19), (5, 20), (5, 21), (5, 22), (5, 23), (5, 24), (5, 25)]",167,193,49,A_Star,c4,h1
"(2, 10)","(5, 25)","[(2, 10), (3, 10), (3, 11), (4, 11), (4, 12), (4, 13), (4, 14), (4, 15), (4, 16), (4, 17), (4, 18), (4, 19), (4, 20), (4, 21), (4, 22), (5, 22), (5, 23), (5, 24), (5, 25)]",180,193,49,A_Star,c1,h2
"(2, 10)","(5, 25)","[(2, 10), (2, 11), (2, 12), (2, 13), (2, 14), (2, 15), (2, 16), (2, 17), (2, 18), (2, 19), (2, 20), (2, 21), (2, 22), (3, 22), (4, 22), (4, 23), (5, 23), (5, 24), (5, 25)]",195,229,58,A_Star,c2,h2
"(2, 10)","(5, 25)","[(2, 10), (2, 11), (2, 12), (2, 13), (2, 14), (3, 14), (3, 15), (3, 16), (3, 17), (3, 18), (3, 19), (4, 19), (4, 20), (4, 21), (4, 22), (4, 23), (4, 24), (5, 24), (5, 25)]",180,141,36,A_Star,c3,h2
"(2, 10)","(5, 25)","[(2, 10), (2, 11), (2, 12), (2, 13), (2, 14), (3, 14), (4, 14), (5, 14), (5, 15), (5, 16), (5, 17), (5, 18), (5, 19), (5, 20), (5, 21), (5, 22), (5, 23), (5, 24), (5, 25)]",177,73,19,A_Star,c4,h2
"(5, 15)","(24, 20)","[(5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (20, 15), (21, 15), (22, 15), (22, 16), (22, 17), (23, 17), (23, 18), (23, 19), (24, 19), (24, 20)]",240,597,150,A_Star,c1,h1
"(5, 15)","(24, 20)","[(5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (16, 15), (17, 15), (17, 16), (18, 16), (18, 17), (19, 17), (19, 18), (20, 18), (21, 18), (21, 19), (22, 19), (23, 19), (23, 20), (24, 20)]",335,1358,341,A_Star,c2,h1
"(5, 15)","(24, 20)","[(5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (13, 16), (13, 17), (14, 17), (15, 17), (16, 17), (17, 17), (18, 17), (18, 18), (19, 18), (20, 18), (21, 18), (22, 18), (22, 19), (22, 20), (23, 20), (24, 20)]",273,865,217,A_Star,c3,h1
"(5, 15)","(24, 20)","[(5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (20, 15), (21, 15), (22, 15), (22, 16), (22, 17), (22, 18), (23, 18), (24, 18), (24, 19), (24, 20)]",219,369,93,A_Star,c4,h1
"(5, 15)","(24, 20)","[(5, 15), (6, 15), (6, 16), (7, 16), (8, 16), (9, 16), (9, 17), (9, 18), (10, 18), (10, 19), (11, 19), (12, 19), (13, 19), (14, 19), (15, 19), (16, 19), (17, 19), (18, 19), (19, 19), (20, 19), (21, 19), (22, 19), (22, 20), (23, 20), (24, 20)]",240,289,73,A_Star,c1,h2
"(5, 15)","(24, 20)","[(5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (10, 16), (11, 16), (12, 16), (12, 17), (13, 17), (13, 18), (14, 18), (15, 18), (15, 19), (16, 19), (17, 19), (18, 19), (19, 19), (20, 19), (21, 19), (22, 19), (22, 20), (23, 20), (24, 20)]",335,897,225,A_Star,c2,h2
"(5, 15)","(24, 20)","[(5, 15), (5, 16), (6, 16), (7, 16), (8, 16), (9, 16), (10, 16), (11, 16), (12, 16), (12, 17), (12, 18), (13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (17, 19), (18, 19), (19, 19), (20, 19), (21, 19), (22, 19), (22, 20), (23, 20), (24, 20)]",273,509,128,A_Star,c3,h2
"(5, 15)","(24, 20)","[(5, 15), (5, 16), (5, 17), (5, 18), (5, 19), (6, 19), (7, 19), (8, 19), (9, 19), (10, 19), (11, 19), (12, 19), (13, 19), (14, 19), (15, 19), (16, 19), (17, 19), (18, 19), (19, 19), (20, 19), (20, 20), (21, 20), (22, 20), (23, 20), (24, 20)]",211,133,34,A_Star,c4,h2
"(14, 18)","(21, 27)","[(14, 18), (14, 19), (15, 19), (15, 20), (15, 21), (16, 21), (17, 21), (17, 22), (17, 23), (18, 23), (18, 24), (19, 24), (20, 24), (20, 25), (20, 26), (21, 26), (21, 27)]",160,357,90,A_Star,c1,h1
"(14, 18)","(21, 27)","[(14, 18), (14, 19), (14, 20), (15, 20), (15, 21), (16, 21), (16, 22), (16, 23), (16, 24), (17, 24), (17, 25), (17, 26), (18, 26), (18, 27), (19, 27), (20, 27), (21, 27)]",195,493,124,A_Star,c2,h1
"(14, 18)","(21, 27)","[(14, 18), (14, 19), (14, 20), (14, 21), (15, 21), (16, 21), (17, 21), (18, 21), (18, 22), (18, 23), (18, 24), (19, 24), (20, 24), (21, 24), (21, 25), (21, 26), (21, 27)]",167,385,97,A_Star,c3,h1
"(14, 18)","(21, 27)","[(14, 18), (14, 19), (14, 20), (14, 21), (14, 22), (14, 23), (15, 23), (16, 23), (17, 23), (18, 23), (19, 23), (20, 23), (21, 23), (21, 24), (21, 25), (21, 26), (21, 27)]",138,201,51,A_Star,c4,h1
"(14, 18)","(21, 27)","[(14, 18), (15, 18), (15, 19), (16, 19), (17, 19), (17, 20), (17, 21), (17, 22), (17, 23), (17, 24), (18, 24), (18, 25), (18, 26), (18, 27), (19, 27), (20, 27), (21, 27)]",160,213,54,A_Star,c1,h2
"(14, 18)","(21, 27)","[(14, 18), (14, 19), (14, 20), (14, 21), (14, 22), (14, 23), (14, 24), (15, 24), (16, 24), (16, 25), (17, 25), (18, 25), (18, 26), (19, 26), (19, 27), (20, 27), (21, 27)]",195,357,90,A_Star,c2,h2
"(14, 18)","(21, 27)","[(14, 18), (14, 19), (14, 20), (15, 20), (16, 20), (17, 20), (18, 20), (18, 21), (18, 22), (18, 23), (18, 24), (19, 24), (20, 24), (21, 24), (21, 25), (21, 26), (21, 27)]",167,265,67,A_Star,c3,h2
"(14, 18)","(21, 27)","[(14, 18), (14, 19), (14, 20), (14, 21), (14, 22), (15, 22), (16, 22), (17, 22), (18, 22), (19, 22), (20, 22), (21, 22), (21, 23), (21, 24), (21, 25), (21, 26), (21, 27)]",141,65,17,A_Star,c4,h2
"(4, 17)","(15, 23)","[(4, 17), (5, 17), (6, 17), (7, 17), (8, 17), (9, 17), (10, 17), (11, 17), (11, 18), (11, 19), (12, 19), (13, 19), (13, 20), (14, 20), (14, 21), (15, 21), (15, 22), (15, 23)]",170,397,100,A_Star,c1,h1
"(4, 17)","(15, 23)","[(4, 17), (5, 17), (6, 17), (7, 17), (8, 17), (9, 17), (9, 18), (9, 19), (9, 20), (10, 20), (11, 20), (12, 20), (13, 20), (13, 21), (14, 21), (14, 22), (14, 23), (15, 23)]",225,672,169,A_Star,c2,h1
"(4, 17)","(15, 23)","[(4, 17), (4, 18), (5, 18), (6, 18), (7, 18), (8, 18), (9, 18), (10, 18), (11, 18), (11, 19), (11, 20), (12, 20), (13, 20), (14, 20), (14, 21), (14, 22), (14, 23), (15, 23)]",185,461,116,A_Star,c3,h1
"(4, 17)","(15, 23)","[(4, 17), (4, 18), (4, 19), (5, 19), (6, 19), (7, 19), (8, 19), (9, 19), (10, 19), (11, 19), (12, 19), (13, 19), (14, 19), (15, 19), (15, 20), (15, 21), (15, 22), (15, 23)]",149,221,56,A_Star,c4,h1
"(4, 17)","(15, 23)","[(4, 17), (5, 17), (5, 18), (6, 18), (7, 18), (8, 18), (8, 19), (8, 20), (9, 20), (10, 20), (11, 20), (12, 20), (13, 20), (14, 20), (14, 21), (14, 22), (14, 23), (15, 23)]",170,285,72,A_Star,c1,h2
"(4, 17)","(15, 23)","[(4, 17), (5, 17), (6, 17), (7, 17), (8, 17), (8, 18), (9, 18), (10, 18), (11, 18), (12, 18), (12, 19), (12, 20), (13, 20), (13, 21), (13, 22), (13, 23), (14, 23), (15, 23)]",225,453,114,A_Star,c2,h2
"(4, 17)","(15, 23)","[(4, 17), (4, 18), (5, 18), (6, 18), (7, 18), (8, 18), (9, 18), (10, 18), (10, 19), (10, 20), (10, 21), (11, 21), (12, 21), (13, 21), (14, 21), (14, 22), (14, 23), (15, 23)]",185,273,69,A_Star,c3,h2
"(4, 17)","(15, 23)","[(4, 17), (4, 18), (4, 19), (4, 20), (4, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 21), (10, 21), (11, 21), (12, 21), (13, 21), (14, 21), (15, 21), (15, 22), (15, 23)]",145,77,20,A_Star,c4,h2
"(5, 18)","(10, 24)","[(5, 18), (5, 19), (5, 20), (6, 20), (6, 21), (7, 21), (8, 21), (8, 22), (8, 23), (9, 23), (9, 24), (10, 24)]",110,165,42,A_Star,c1,h1
"(5, 18)","(10, 24)","[(5, 18), (5, 19), (5, 20), (6, 20), (6, 21), (7, 21), (7, 22), (8, 22), (9, 22), (10, 22), (10, 23), (10, 24)]",135,257,65,A_Star,c2,h1
"(5, 18)","(10, 24)","[(5, 18), (5, 19), (5, 20), (5, 21), (6, 21), (7, 21), (8, 21), (9, 21), (9, 22), (9, 23), (9, 24), (10, 24)]",114,173,44,A_Star,c3,h1
"(5, 18)","(10, 24)","[(5, 18), (5, 19), (5, 20), (5, 21), (5, 22), (6, 22), (7, 22), (8, 22), (9, 22), (9, 23), (10, 23), (10, 24)]",99,93,24,A_Star,c4,h1
"(5, 18)","(10, 24)","[(5, 18), (6, 18), (6, 19), (7, 19), (8, 19), (8, 20), (8, 21), (8, 22), (8, 23), (8, 24), (9, 24), (10, 24)]",110,141,36,A_Star,c1,h2
"(5, 18)","(10, 24)","[(5, 18), (5, 19), (5, 20), (5, 21), (5, 22), (6, 22), (7, 22), (7, 23), (8, 23), (9, 23), (10, 23), (10, 24)]",135,193,49,A_Star,c2,h2
